type,dataset,country,id,label
organization,MC1,,5441,5441
organization,MC1,,199442,199442
political_organization,MC1,,903,903
person,MC1,Country_874023,Erica Mitchell,Erica Mitchell
organization,MC1,,829,829
organization,MC1,,995899,995899
organization,MC1,,47249,47249
organization,MC1,,23399545,23399545
political_organization,MC1,,621,621
unknown,MC1,,europeansting,europeansting
company,MC1,Country_271835,Jammu & Kashmir Ltd Family,Jammu & Kashmir Ltd Family
political_organization,MC1,,7023,7023
organization,MC1,,13863,13863
person,MC1,Country_271835,James Smith MD,James Smith MD
person,MC1,Country_271835,Brian Palmer,Brian Palmer
organization,MC1,,35683821,35683821
person,MC1,Country_895471,Morgan Bell,Morgan Bell
organization,MC1,,1465792,1465792
organization,MC1,,366,366
organization,MC1,,19386200,19386200
organization,MC1,,85946,85946
organization,MC1,,172114,172114
organization,MC1,,657,657
organization,MC1,,87339689,87339689
organization,MC1,,522017227,522017227
political_organization,MC1,,29,29
political_organization,MC1,,327481624,327481624
location,MC1,,cf651b3c-4e21-458c-91c4-3cae2eb36bcb,cf651b3c-4e21-458c-91c4-3cae2eb36bcb
location,MC1,,17c99d9d-7049-4ebb-8a2a-f3d39cc42870,17c99d9d-7049-4ebb-8a2a-f3d39cc42870
organization,MC1,,760402,760402
person,MC1,Country_271835,Sarah Clark,Sarah Clark
vessel,MC1,,Water,Water
organization,MC1,,737137552,737137552
location,MC1,,77bfcfcd-af2c-4b58-8a99-871a6c6109f2,77bfcfcd-af2c-4b58-8a99-871a6c6109f2
location,MC1,,25875c2e-ff9a-4669-bad7-2c84bafb7515,25875c2e-ff9a-4669-bad7-2c84bafb7515
person,MC1,Country_271835,Matthew Martin,Matthew Martin
person,MC1,Country_271835,Tyler Brown,Tyler Brown
organization,MC1,,11960055,11960055
location,MC1,,ce0d446c-d08d-49a8-8aa2-e625ead63d0c,ce0d446c-d08d-49a8-8aa2-e625ead63d0c
organization,MC1,,25423,25423
company,MC1,Country_271835,Delhi ers AS Holdings,Delhi ers AS Holdings
company,MC1,Country_271835,Cape of Good Hope  Oyj,Cape of Good Hope  Oyj
location,MC1,,abcb0d9c-80da-4491-99f3-e093984f5373,abcb0d9c-80da-4491-99f3-e093984f5373
person,MC1,Oceanus,Erin Simmons,Erin Simmons
unknown,MC1,,LOMÃ,LOMÃ
location,MC1,,6ae0d6bb-b101-4905-8b41-86b10a580c82,6ae0d6bb-b101-4905-8b41-86b10a580c82
person,MC1,Oceanus,Kristina Frazier,Kristina Frazier
person,MC1,Oceanus,Bryan Johnston,Bryan Johnston
organization,MC1,,874124852,874124852
location,MC1,,05ef2661-6f3a-4f37-83e7-2ec8352afaef,05ef2661-6f3a-4f37-83e7-2ec8352afaef
location,MC1,,2ef60e7b-4914-4dbd-a063-5b23143fe5db,2ef60e7b-4914-4dbd-a063-5b23143fe5db
political_organization,MC1,,2633692,2633692
location,MC1,,fc4e853f-6e18-4631-bf95-f70d6a30579f,fc4e853f-6e18-4631-bf95-f70d6a30579f
location,MC1,,6c7a8222-efc7-41a6-809a-043b091ae04a,6c7a8222-efc7-41a6-809a-043b091ae04a
person,MC1,Country_271835,Dale Warner,Dale Warner
organization,MC1,,451,451
location,MC1,,705283b0-cdb7-4f0a-8481-b3fea243a8e5,705283b0-cdb7-4f0a-8481-b3fea243a8e5
location,MC1,,30295c76-f2c6-4284-89fd-8f8fd082889b,30295c76-f2c6-4284-89fd-8f8fd082889b
unknown,MC1,,Statesâ,Statesâ
vessel,MC1,,Gulf,Gulf
vessel,MC1,,Boat,Boat
person,MC1,Country_271835,Teresa Rivera,Teresa Rivera
organization,MC1,,767368152,767368152
location,MC1,,6d887b98-7c48-4a82-98bb-2f50fe4b29d5,6d887b98-7c48-4a82-98bb-2f50fe4b29d5
vessel,MC1,,salmon,salmon
person,MC1,Country_271835,George Ramirez,George Ramirez
location,MC1,,4e872202-1d65-4183-80c9-e8c12c8f736e,4e872202-1d65-4183-80c9-e8c12c8f736e
organization,MC1,,4382,4382
organization,MC1,,7320771,7320771
organization,MC1,,94760735,94760735
political_organization,MC1,,969,969
location,MC1,,86dc0f8c-7305-4c1e-b655-cf16eefd6fce,86dc0f8c-7305-4c1e-b655-cf16eefd6fce
location,MC1,,8164acdd-514f-4e18-867c-4bc63cebf15b,8164acdd-514f-4e18-867c-4bc63cebf15b
company,MC1,Country_271835,Playa del Mar Caviar,Playa del Mar Caviar
location,MC1,,a7f76d84-4ccf-424a-9bf9-fc20b862b7a8,a7f76d84-4ccf-424a-9bf9-fc20b862b7a8
organization,MC1,,142,142
organization,MC1,,3183,3183
company,MC1,Country_766259,Estrella de la Costa Inc Transit,Estrella de la Costa Inc Transit
organization,MC1,,802113,802113
organization,MC1,,372016989,372016989
person,MC1,Country_271835,Alan Pacheco,Alan Pacheco
location,MC1,,50335cc3-71d6-4803-baca-5faaecfc33cb,50335cc3-71d6-4803-baca-5faaecfc33cb
person,MC1,Country_271835,Virginia Carter,Virginia Carter
person,MC1,Country_271835,April James,April James
unknown,MC1,,Aleut Community St,Aleut Community St
unknown,MC1,,KanuuxÌ,KanuuxÌ
location,MC1,,e8036bce-0679-41d2-aa7b-d444163ae65a,e8036bce-0679-41d2-aa7b-d444163ae65a
unknown,MC1,,âSewardâs Follyâ,âSewardâs Follyâ
person,MC1,Country_271835,Wendy Duarte,Wendy Duarte
location,MC1,,aa1f466d-d060-40fa-ab0e-3f8bb2ca940f,aa1f466d-d060-40fa-ab0e-3f8bb2ca940f
person,MC1,Country_271835,Alexis Murphy,Alexis Murphy
unknown,MC1,,AlaÄum KanuuxÌ,AlaÄum KanuuxÌ
person,MC1,Country_34878,Angela Powers,Angela Powers
person,MC1,Country_271835,Eric Gentry,Eric Gentry
person,MC1,Country_271835,Donna Shepherd,Donna Shepherd
company,MC1,Country_271835,Zambezi Rapids NV Brothers,Zambezi Rapids NV Brothers
organization,MC1,,25652724,25652724
organization,MC1,,430,430
location,MC1,,f402c1d2-8262-4bae-aa92-c8675a7006fc,f402c1d2-8262-4bae-aa92-c8675a7006fc
organization,MC1,,49729,49729
organization,MC1,,9209373,9209373
location,MC1,,dff423b9-cf9a-4b0a-849f-ecb513924287,dff423b9-cf9a-4b0a-849f-ecb513924287
organization,MC1,,993137821,993137821
organization,MC1,,2421,2421
organization,MC1,,7413,7413
political_organization,MC1,,43185,43185
organization,MC1,,937182447,937182447
unknown,MC1,,âAlaÄum KanuuxÌ,âAlaÄum KanuuxÌ
organization,MC1,,861,861
person,MC1,Country_271835,Gary Scott,Gary Scott
organization,MC1,,883290144,883290144
organization,MC1,,859375359,859375359
location,MC1,,47967ccc-0e26-458d-b1e5-80e8668db714,47967ccc-0e26-458d-b1e5-80e8668db714
organization,MC1,,7056336,7056336
organization,MC1,,36322,36322
organization,MC1,,52,52
location,MC1,,c9b9c344-98ec-40b8-af05-8528e5d82534,c9b9c344-98ec-40b8-af05-8528e5d82534
organization,MC1,,42603647,42603647
organization,MC1,,8544797,8544797
organization,MC1,,5070599,5070599
organization,MC1,,8966,8966
organization,MC1,,39,39
vessel,MC1,,Plastic,Plastic
organization,MC1,,927244,927244
location,MC1,,e53552bc-174b-4799-b96b-c23cfa0731cb,e53552bc-174b-4799-b96b-c23cfa0731cb
organization,MC1,,9166,9166
vessel,MC1,,19,19
organization,MC1,,48,48
person,MC1,Oceanus,Thomas Curry,Thomas Curry
location,MC1,,87ea830d-be41-4317-8b1b-142f23da70d7,87ea830d-be41-4317-8b1b-142f23da70d7
organization,MC1,,662118,662118
organization,MC1,,45,45
location,MC1,,c14a3dc1-59d0-4b92-b9f3-331e51912787,c14a3dc1-59d0-4b92-b9f3-331e51912787
unknown,MC1,,17 Sept,17 Sept
person,MC1,Oceanus,Christopher Peterson,Christopher Peterson
organization,MC1,,505943,505943
person,MC1,Country_271835,Isaiah Hammond,Isaiah Hammond
person,MC1,Country_271835,Erica Bailey,Erica Bailey
organization,MC1,,90183,90183
organization,MC1,,79538,79538
person,MC1,Country_271835,Kevin Norton,Kevin Norton
person,MC1,Country_271835,Gregory Moore,Gregory Moore
organization,MC1,,43685541,43685541
organization,MC1,,7871,7871
organization,MC1,,7247721,7247721
organization,MC1,,22,22
location,MC1,,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32
unknown,MC1,,âgreenâ,âgreenâ
movement,MC1,,normal,normal
location,MC1,,ede1806c-b3d1-47f5-ba49-d948d6ec385a,ede1806c-b3d1-47f5-ba49-d948d6ec385a
organization,MC1,,36,36
location,MC1,,52e9a600-9d6f-4683-95be-c7c60c57ffe1,52e9a600-9d6f-4683-95be-c7c60c57ffe1
person,MC1,Polarisdom,Christina Olsen,Christina Olsen
unknown,MC1,,DiÃ,DiÃ
unknown,MC1,,logo,logo
person,MC1,Country_271835,Amy Wise,Amy Wise
organization,MC1,,8609,8609
political_organization,MC1,,40952,40952
organization,MC1,,27641046,27641046
location,MC1,,e167b40a-96f4-40e0-873b-78950e4434f4,e167b40a-96f4-40e0-873b-78950e4434f4
organization,MC1,,324989705,324989705
organization,MC1,,5415,5415
organization,MC1,,9473,9473
location,MC1,,52093e45-b873-4300-9612-8dfc291b1339,52093e45-b873-4300-9612-8dfc291b1339
location,MC1,,46aadaa6-fb30-4474-a060-3adb689f4189,46aadaa6-fb30-4474-a060-3adb689f4189
location,MC1,,8c53a730-3aa1-463f-aef6-999a3cfbfb70,8c53a730-3aa1-463f-aef6-999a3cfbfb70
organization,MC1,,528,528
person,MC1,Country_895471,Abigail Foster,Abigail Foster
company,MC1,Marebak,Rybachit Limited Liability Company,Rybachit Limited Liability Company
person,MC1,Country_271835,Hunter Wheeler,Hunter Wheeler
person,MC1,Country_271835,Christopher Miller,Christopher Miller
location,MC1,,ae88562c-5c39-4c15-b128-b4f67f5e5812,ae88562c-5c39-4c15-b128-b4f67f5e5812
unknown,MC1,,ipoa-iuu,ipoa-iuu
unknown,MC1,,Think Tank Index Reportâ,Think Tank Index Reportâ
unknown,MC1,,upenn,upenn
unknown,MC1,,edu,edu
location,MC1,,2ceda972-c633-4a88-bbe8-a4fe48cb5555,2ceda972-c633-4a88-bbe8-a4fe48cb5555
unknown,MC1,,Torremolinos,Torremolinos
unknown,MC1,,International-Convention,International-Convention
unknown,MC1,,imo,imo
organization,MC1,,890,890
unknown,MC1,,âU,âU
company,MC1,Country_271835,Senegal Coast Oyj Motorboat,Senegal Coast Oyj Motorboat
organization,MC1,,762833,762833
vessel,MC1,,Spy,Spy
person,MC1,Country_271835,Howard Pierce,Howard Pierce
political_organization,MC1,,228,228
political_organization,MC1,,63,63
organization,MC1,,84,84
political_organization,MC1,,22150,22150
person,MC1,Country_271835,Jill Boyd,Jill Boyd
person,MC1,Country_459036,Kristin Davidson,Kristin Davidson
person,MC1,Country_271835,Robert Carpenter,Robert Carpenter
person,MC1,Country_459036,Mario Richardson,Mario Richardson
event,MC1,,âregions,âregions
organization,MC1,,7529,7529
organization,MC1,,90254947,90254947
organization,MC1,,591787,591787
person,MC1,Country_415128,Joseph Johnson,Joseph Johnson
person,MC1,Country_895471,Peter Oliver,Peter Oliver
unknown,MC1,,âsinkâ,âsinkâ
organization,MC1,,555217629,555217629
person,MC1,Country_437825,Jeremy Jackson,Jeremy Jackson
person,MC1,Country_198078,Kelly Brown,Kelly Brown
person,MC1,Country_271835,Susan Porter,Susan Porter
person,MC1,Country_271835,Meghan Wolfe,Meghan Wolfe
person,MC1,Country_931736,Zachary Petersen,Zachary Petersen
person,MC1,Marebak,Stephen Evans,Stephen Evans
person,MC1,Country_271835,Charles Tran,Charles Tran
location,MC1,,23550059-88d4-4a69-b74e-3c7de8bf56de,23550059-88d4-4a69-b74e-3c7de8bf56de
person,MC1,Country_984533,Patricia Byrd,Patricia Byrd
person,MC1,Riodelsol,Ronald Mahoney,Ronald Mahoney
company,MC1,Country_271835,Playa de Coral GmbH Consultants,Playa de Coral GmbH Consultants
person,MC1,Country_271835,Kirk Jackson,Kirk Jackson
unknown,MC1,,âdegradedâ,âdegradedâ
person,MC1,Country_271835,Jeffrey Curry,Jeffrey Curry
person,MC1,Country_271835,Steven Huynh,Steven Huynh
person,MC1,Oceanterra,Evelyn Huang,Evelyn Huang
event,MC1,,âpoint,âpoint
person,MC1,Country_271835,Bonnie Perez,Bonnie Perez
person,MC1,Country_483478,Courtney Evans,Courtney Evans
unknown,MC1,,Mexicoâs YucatÃ,Mexicoâs YucatÃ
person,MC1,Country_271835,Jerry Welch,Jerry Welch
location,MC1,,1196cfc8-175c-465b-aee9-fbf74c81aa49,1196cfc8-175c-465b-aee9-fbf74c81aa49
organization,MC1,,87,87
event,MC1,,NiÃ±o,NiÃ±o
person,MC1,Country_271835,Judy Johns,Judy Johns
person,MC1,Country_271835,Richard Greer,Richard Greer
person,MC1,Country_271835,David Hayden,David Hayden
person,MC1,Country_271835,Matthew Delgado,Matthew Delgado
location,MC1,,21e68e53-183c-45a0-9805-68c099d4d9c0,21e68e53-183c-45a0-9805-68c099d4d9c0
unknown,MC1,,âpioneersâ,âpioneersâ
event,MC1,,embaÃºba,embaÃºba
unknown,MC1,,âzombie,âzombie
person,MC1,Country_981995,Kenneth Jones,Kenneth Jones
event,MC1,,âSwiss,âSwiss
person,MC1,Country_271835,Elizabeth Dean,Elizabeth Dean
person,MC1,Country_271835,Daniel Mason,Daniel Mason
person,MC1,Country_271835,Miss Angel Thomas,Miss Angel Thomas
person,MC1,Country_271835,Amanda Mitchell,Amanda Mitchell
person,MC1,Country_271835,Scott Brown,Scott Brown
movement,MC1,,days,days
organization,MC1,,38111,38111
person,MC1,Country_271835,Thomas Rivas,Thomas Rivas
person,MC1,Country_271835,Holly Taylor,Holly Taylor
organization,MC1,,66030248,66030248
organization,MC1,,20571414,20571414
organization,MC1,,31894357,31894357
organization,MC1,,1225,1225
organization,MC1,,363355,363355
organization,MC1,,387674,387674
person,MC1,Marebak,Alan Wells,Alan Wells
political_organization,MC1,,981038,981038
event,MC1,,âThese,âThese
person,MC1,Country_271835,Stephen Lowe,Stephen Lowe
person,MC1,Country_271835,Nicholas Hernandez,Nicholas Hernandez
person,MC1,Country_271835,Stephanie Robinson,Stephanie Robinson
location,MC1,,e678510b-947d-455a-8eb0-44d1009682ec,e678510b-947d-455a-8eb0-44d1009682ec
unknown,MC1,,The Pew Charitable Trustsâ,The Pew Charitable Trustsâ
person,MC1,Country_271835,Jerry Montgomery,Jerry Montgomery
location,MC1,,ad8fe467-3759-4f53-bf6a-896a237d187f,ad8fe467-3759-4f53-bf6a-896a237d187f
vessel,MC1,,Leng 999 Gal,Leng 999 Gal
organization,MC1,,1402,1402
location,MC1,,a0deebdf-db0c-4aa8-91b6-0536e017c20f,a0deebdf-db0c-4aa8-91b6-0536e017c20f
organization,MC1,,25125567,25125567
person,MC1,Country_271835,Parker Jones,Parker Jones
event,MC1,,âCollecting,âCollecting
organization,MC1,,33681303,33681303
person,MC1,Country_461742,Michael Brock,Michael Brock
organization,MC1,,2573803,2573803
organization,MC1,,56126935,56126935
unknown,MC1,,âcollaborativeâ,âcollaborativeâ
person,MC1,Syrithania,Xavier Sanchez,Xavier Sanchez
person,MC1,Country_271835,Raymond King,Raymond King
person,MC1,Country_542476,Thomas Morales,Thomas Morales
organization,MC1,,138782226,138782226
person,MC1,Country_271835,Christopher Daniel,Christopher Daniel
person,MC1,Country_887466,Linda Sherman,Linda Sherman
person,MC1,Country_271835,Mary Lucas,Mary Lucas
person,MC1,Country_271835,Morgan Black,Morgan Black
person,MC1,Oceanus,Kristine Vaughn,Kristine Vaughn
organization,MC1,,1301719,1301719
person,MC1,Marebak,Melissa Gonzales,Melissa Gonzales
organization,MC1,,496391,496391
organization,MC1,,7539428,7539428
location,MC1,,8afc9cb6-edf5-4a7d-9a02-054444a5604e,8afc9cb6-edf5-4a7d-9a02-054444a5604e
person,MC1,Country_271835,Crystal Smith,Crystal Smith
person,MC1,Oceanus,Richard Perkins,Richard Perkins
person,MC1,Oceanus,Amanda Gibson,Amanda Gibson
person,MC1,Country_271835,Christine Jones,Christine Jones
person,MC1,Country_271835,Carlos White,Carlos White
organization,MC1,,28379,28379
person,MC1,Country_271835,Christine Robinson,Christine Robinson
organization,MC1,,958085,958085
company,MC1,Marebak,Diao er Ltd. Corporation Transport,Diao er Ltd. Corporation Transport
company,MC1,Marebak,Tshikwea Corp Marine sanctuary,Tshikwea Corp Marine sanctuary
location,MC1,,5ede75fe-f670-4a59-b693-da34e7f6eb47,5ede75fe-f670-4a59-b693-da34e7f6eb47
person,MC1,Country_271835,Robert Adams,Robert Adams
person,MC1,Country_271835,Brandon Jackson,Brandon Jackson
person,MC1,Osterivaria,Sierra Smith,Sierra Smith
organization,MC1,,519994690,519994690
organization,MC1,,102642,102642
organization,MC1,,7908385,7908385
organization,MC1,,691192,691192
organization,MC1,,243964,243964
company,MC1,Country_271835,Turkish Sword Ltd Export,Turkish Sword Ltd Export
person,MC1,Country_271835,Jasmine Camacho,Jasmine Camacho
person,MC1,Country_271835,Lindsey Palmer,Lindsey Palmer
event,MC1,,âespecially,âespecially
person,MC1,Country_271835,Melissa Spence,Melissa Spence
location,MC1,,e13aca6a-88b5-4be7-a293-4a57854d7b1d,e13aca6a-88b5-4be7-a293-4a57854d7b1d
person,MC1,Country_789037,Jessica Brown,Jessica Brown
person,MC1,Country_271835,Daniel Snyder,Daniel Snyder
organization,MC1,,441,441
person,MC1,Country_271835,Bethany Wright,Bethany Wright
person,MC1,Country_271835,Willie Hill,Willie Hill
person,MC1,Country_271835,Jennifer Meyers,Jennifer Meyers
person,MC1,Country_271835,Allison Leonard,Allison Leonard
unknown,MC1,,ââ,ââ
person,MC1,Country_271835,Amanda Andrews,Amanda Andrews
person,MC1,Ivarisia,Bruce Brooks,Bruce Brooks
organization,MC1,,111795162,111795162
organization,MC1,,482048,482048
organization,MC1,,70,70
event,MC1,,âHe,âHe
location,MC1,,7cc6bfba-4893-444b-a641-a7d0b48fa427,7cc6bfba-4893-444b-a641-a7d0b48fa427
organization,MC1,,56,56
organization,MC1,,621770,621770
organization,MC1,,3016,3016
organization,MC1,,98703,98703
person,MC1,Country_271835,Misty Thomas,Misty Thomas
organization,MC1,,314,314
organization,MC1,,567,567
organization,MC1,,990,990
organization,MC1,,341853,341853
organization,MC1,,13592,13592
person,MC1,Country_449947,Dawn Sanchez,Dawn Sanchez
organization,MC1,,979893388,979893388
person,MC1,Country_271835,Tammy Ryan,Tammy Ryan
person,MC1,Country_204272,Timothy Lopez,Timothy Lopez
company,MC1,Country_271835,Marine Mermaids CJSC Marine biology,Marine Mermaids CJSC Marine biology
person,MC1,Country_204272,David Larsen,David Larsen
political_organization,MC1,,706129,706129
organization,MC1,,14,14
organization,MC1,,4698,4698
organization,MC1,,89734,89734
person,MC1,Country_271835,Terry Murphy,Terry Murphy
organization,MC1,,491,491
organization,MC1,,3528,3528
organization,MC1,,43247945,43247945
location,MC1,,e1d7b4ac-ed31-42a4-9375-4afb0f78f276,e1d7b4ac-ed31-42a4-9375-4afb0f78f276
person,MC1,Country_271835,Mary Horton,Mary Horton
vessel,MC1,,cutter James,cutter James
person,MC1,Country_800653,Mr. Mark Kline,Mr. Mark Kline
location,MC1,,1da2bc5a-e590-41c9-9982-2ade48dfc426,1da2bc5a-e590-41c9-9982-2ade48dfc426
organization,MC1,,842229565,842229565
person,MC1,Country_271835,Dylan Roberts,Dylan Roberts
vessel,MC1,,Hang,Hang
organization,MC1,,41695239,41695239
organization,MC1,,489,489
location,MC1,,67a59fab-710a-4992-b6d0-d581fd9dceba,67a59fab-710a-4992-b6d0-d581fd9dceba
location,MC1,,da75877e-ec57-42cc-82b9-de68c8d333e7,da75877e-ec57-42cc-82b9-de68c8d333e7
vessel,MC1,,boat,boat
person,MC1,Syrithania,Michelle Hancock,Michelle Hancock
person,MC1,Country_271835,Kathy Rodriguez,Kathy Rodriguez
unknown,MC1,,GalÃ,GalÃ
political_organization,MC1,,950296,950296
vessel,MC1,,Oceans,Oceans
person,MC1,Country_271835,David Weber,David Weber
location,MC1,,7c54563c-577c-462f-8e30-389b510c776a,7c54563c-577c-462f-8e30-389b510c776a
event,MC1,,Morning,Morning
person,MC1,Country_271835,Jennifer Simmons,Jennifer Simmons
organization,MC1,,4759,4759
vessel,MC1,,626,626
location,MC1,,72899187-0989-47fa-9db0-cd1d4c3fc4e3,72899187-0989-47fa-9db0-cd1d4c3fc4e3
organization,MC1,,833355,833355
political_organization,MC1,,27078926,27078926
organization,MC1,,2983,2983
organization,MC1,,613281364,613281364
person,MC1,Country_271835,Dylan Moss,Dylan Moss
organization,MC1,,92,92
political_organization,MC1,,8597,8597
organization,MC1,,801809,801809
person,MC1,Country_271835,Angela Spencer,Angela Spencer
organization,MC1,,97,97
political_organization,MC1,,6889326,6889326
location,MC1,,ec1b111d-b9eb-4eef-ab00-ff7124cca480,ec1b111d-b9eb-4eef-ab00-ff7124cca480
organization,MC1,,32416483,32416483
location,MC1,,f2aee915-d483-4823-a030-9aac5e44c1fe,f2aee915-d483-4823-a030-9aac5e44c1fe
vessel,MC1,,oceanâs,oceanâs
organization,MC1,,7328,7328
company,MC1,Country_271835,OceanicOrigin Foods Co and Son's,OceanicOrigin Foods Co and Son's
organization,MC1,,71317,71317
organization,MC1,,852015,852015
organization,MC1,,65,65
organization,MC1,,58745,58745
organization,MC1,,71755,71755
organization,MC1,,1972868,1972868
organization,MC1,,61057213,61057213
organization,MC1,,653,653
location,MC1,,473c1320-e50b-4f90-a068-76f82e210f26,473c1320-e50b-4f90-a068-76f82e210f26
company,MC1,Country_271835,Ola de la Costa S.A. de C.V.,Ola de la Costa S.A. de C.V.
organization,MC1,,18,18
organization,MC1,,24641639,24641639
organization,MC1,,678,678
organization,MC1,,6393,6393
person,MC1,Country_271835,Margaret Shields,Margaret Shields
organization,MC1,,346281879,346281879
organization,MC1,,341,341
organization,MC1,,1094345,1094345
vessel,MC1,,629,629
person,MC1,Country_271835,Brian Wolfe,Brian Wolfe
organization,MC1,,119411,119411
organization,MC1,,8950,8950
location,MC1,,8041aa28-8c50-4083-a528-469c0c6251d9,8041aa28-8c50-4083-a528-469c0c6251d9
vessel,MC1,,621,621
person,MC1,Country_271835,Frank Guzman,Frank Guzman
location,MC1,,34f0cbbf-83c3-4e09-ad7a-b94a778f7c12,34f0cbbf-83c3-4e09-ad7a-b94a778f7c12
person,MC1,Country_271835,Michael Porter,Michael Porter
person,MC1,Country_271835,Madison Edwards,Madison Edwards
person,MC1,Marebak,Calvin Salas,Calvin Salas
unknown,MC1,,âpresumedâ,âpresumedâ
unknown,MC1,,âconfirmedâ,âconfirmedâ
organization,MC1,,685607,685607
organization,MC1,,265494227,265494227
location,MC1,,2a282617-d174-409c-b0b1-490fdc369335,2a282617-d174-409c-b0b1-490fdc369335
company,MC1,Country_271835,xu y Ltd. Corporation,xu y Ltd. Corporation
event,MC1,,periods years,periods years
organization,MC1,,89035,89035
person,MC1,Wysterion,Tristan Johnson,Tristan Johnson
person,MC1,Country_271835,Andrew Gamble,Andrew Gamble
organization,MC1,,21724,21724
event,MC1,,âhigh,âhigh
unknown,MC1,,âwidespreadâ,âwidespreadâ
person,MC1,Country_907876,David Mcfarland,David Mcfarland
unknown,MC1,,âprotectedâ,âprotectedâ
organization,MC1,,30700925,30700925
person,MC1,Country_271835,George Morton,George Morton
person,MC1,Country_271835,Janice Bell,Janice Bell
movement,MC1,,Saturday,Saturday
location,MC1,,a39483f8-121a-4c18-9b20-9e0d2cba52e9,a39483f8-121a-4c18-9b20-9e0d2cba52e9
organization,MC1,,58623386,58623386
organization,MC1,,492238508,492238508
person,MC1,Country_709784,Anita Tate,Anita Tate
organization,MC1,,4447143,4447143
person,MC1,Country_271835,Lisa Foster,Lisa Foster
organization,MC1,,34252,34252
organization,MC1,,8494294,8494294
unknown,MC1,,Catchâ,Catchâ
organization,MC1,,17,17
organization,MC1,,150674265,150674265
person,MC1,Oceanus,Audrey Romero,Audrey Romero
person,MC1,Oceanus,Melinda Wade,Melinda Wade
location,MC1,,36b70b18-465a-442f-bfbe-cedb85d48acc,36b70b18-465a-442f-bfbe-cedb85d48acc
organization,MC1,,13,13
organization,MC1,,3887,3887
vessel,MC1,,reefers,reefers
unknown,MC1,,âencounteredâ,âencounteredâ
person,MC1,Country_271835,Veronica Payne,Veronica Payne
person,MC1,Country_271835,Ronnie Burns,Ronnie Burns
person,MC1,Country_271835,Lisa Lambert,Lisa Lambert
organization,MC1,,1360,1360
person,MC1,Country_271835,Kimberly Lara,Kimberly Lara
location,MC1,,2ad4f7ea-6f93-4a11-ace7-d7a4234bb991,2ad4f7ea-6f93-4a11-ace7-d7a4234bb991
location,MC1,,b24194ae-69ad-4e6c-be29-787c215cde65,b24194ae-69ad-4e6c-be29-787c215cde65
person,MC1,Country_271835,Sara Jenkins,Sara Jenkins
location,MC1,,19a4297e-2d2b-47c0-9dce-816148a16f4e,19a4297e-2d2b-47c0-9dce-816148a16f4e
vessel,MC1,,Maru,Maru
person,MC1,Country_271835,Danielle Camacho,Danielle Camacho
organization,MC1,,60693571,60693571
organization,MC1,,54073418,54073418
person,MC1,Country_271835,Mr. Justin Bailey MD,Mr. Justin Bailey MD
organization,MC1,,76568,76568
location,MC1,,c682ec16-cd10-4a6c-94ce-4a5eb590b42e,c682ec16-cd10-4a6c-94ce-4a5eb590b42e
person,MC1,Country_271835,Paula Allen,Paula Allen
unknown,MC1,,13 yearsâ,13 yearsâ
movement,MC1,,three,three
person,MC1,Country_271835,Christy Fields,Christy Fields
person,MC1,Country_271835,Michele Hernandez,Michele Hernandez
person,MC1,Country_271835,Mary Castillo,Mary Castillo
person,MC1,Country_271835,Jennifer Brown,Jennifer Brown
person,MC1,Country_271835,John Barnes DDS,John Barnes DDS
organization,MC1,,830155,830155
person,MC1,Country_271835,Anna Turner,Anna Turner
person,MC1,Country_271835,Stephanie Quinn,Stephanie Quinn
organization,MC1,,9590898,9590898
person,MC1,Arreciviento,Joshua Garrett,Joshua Garrett
organization,MC1,,95230042,95230042
organization,MC1,,21240092,21240092
organization,MC1,,7234,7234
organization,MC1,,6335187,6335187
organization,MC1,,695031,695031
organization,MC1,,2508,2508
organization,MC1,,6391,6391
person,MC1,Country_271835,Mary Jenkins,Mary Jenkins
political_organization,MC1,,75835980,75835980
organization,MC1,,23774,23774
person,MC1,Luminsia,Nicole Smith,Nicole Smith
organization,MC1,,9992346,9992346
organization,MC1,,227,227
vessel,MC1,,ocean,ocean
person,MC1,Country_271835,Jennifer Reilly,Jennifer Reilly
political_organization,MC1,,79,79
organization,MC1,,39893,39893
location,MC1,,47bd4f34-d0af-41f0-88c5-eb9d4fde440c,47bd4f34-d0af-41f0-88c5-eb9d4fde440c
organization,MC1,,3782,3782
organization,MC1,,7441,7441
unknown,MC1,,Fisheries Animal Industriesâ,Fisheries Animal Industriesâ
person,MC1,Country_271835,Donald Thompson,Donald Thompson
person,MC1,Country_271835,Cynthia Byrd,Cynthia Byrd
person,MC1,Country_271835,Christopher Hernandez,Christopher Hernandez
organization,MC1,,58666504,58666504
person,MC1,Country_271835,Jennifer Frederick,Jennifer Frederick
organization,MC1,,70347729,70347729
organization,MC1,,116070050,116070050
location,MC1,,b47086b0-e225-436a-83b1-2cf5cda4dbd5,b47086b0-e225-436a-83b1-2cf5cda4dbd5
organization,MC1,,613465161,613465161
vessel,MC1,,bottom,bottom
person,MC1,Country_271835,Michael Patton,Michael Patton
person,MC1,Country_271835,Kristin Jones,Kristin Jones
organization,MC1,,884648,884648
organization,MC1,,90,90
organization,MC1,,353149780,353149780
organization,MC1,,2913,2913
organization,MC1,,693436,693436
